id,name,album_group,album_type,release_date,popularity
1196,Bir Kadın Nasıl Döner Köşeyi,NULL,compilation,2004-01-01 00:00:00.0000000,0
1197,Alone,NULL,album,2007-11-01 00:00:00.0000000,0
1198,Cumbión del Sur (feat. Itagui),NULL,album,2014-03-11 00:00:00.0000000,0
1199,Are You Ready,NULL,album,1999-05-02 00:00:00.0000000,43
12,Scheiße,NULL,album,2011-05-23 00:00:00.0000000,0
120,Uptown - Live,NULL,album,1988-01-01 00:00:00.0000000,0
1200,Anguish of Youth,NULL,album,2011-01-01 00:00:00.0000000,0
1201,She's Fiddling,NULL,album,2001-01-01 00:00:00.0000000,0
1202,The Reflection Wave One - Original Sound Track,NULL,album,2017-08-16 00:00:00.0000000,8
1203,Dark Thrones & Black Flags,NULL,album,2008-01-01 00:00:00.0000000,0
1204,Partes Extra Partes,NULL,album,2006-01-01 00:00:00.0000000,0
1205,100% Klassik Vol. 2,NULL,album,2009-11-27 00:00:00.0000000,21
1206,Golden,NULL,album,2011-05-17 00:00:00.0000000,0
1207,Newfoundland Canadian Celtic Ballad,NULL,album,2016-01-15 00:00:00.0000000,0
1208,Intro (Twist It Up),NULL,album,2015-03-15 00:00:00.0000000,0
1209,Revolution - Live,NULL,album,2009-09-04 00:00:00.0000000,0
121,Destiny Islands,NULL,album,2017-05-24 00:00:00.0000000,0
1210,Ateu Comovido,NULL,album,2000-01-01 00:00:00.0000000,0
1211,Love U Baby,NULL,compilation,2015-11-03 00:00:00.0000000,0
1212,Rhythm Cone,NULL,album,2009-08-14 00:00:00.0000000,0
1213,Kamikaze 2016,NULL,album,2016-09-18 00:00:00.0000000,0
1214,Genesis - Original Mix,NULL,album,2016-09-05 00:00:00.0000000,0
1215,Fa Lude Oh!,NULL,album,2006-01-01 00:00:00.0000000,0
1216,愛さえあれば,NULL,album,2014-04-22 00:00:00.0000000,0
1217,El Dinero No Es la Vida,NULL,album,2001-08-14 00:00:00.0000000,0
1218,Changes Her Mind,NULL,album,1982-01-01 00:00:00.0000000,0
1219,Tchaikovsky: The Nutcracker; The Sleeping Beauty - highlights,NULL,album,1994-01-01 00:00:00.0000000,26
122,Never Had a Love Like This Before,NULL,album,2010-04-20 00:00:00.0000000,0
1220,A State Of Trance (ASOT 734) - Welcome to Hour 2,NULL,album,2015-10-08 00:00:00.0000000,0
1221,Papa-Oom-Mow-Mow - Party! Sessions Mix,NULL,album,2015-11-20 00:00:00.0000000,0
1222,Teach Me To Trust,NULL,album,1995-08-22 00:00:00.0000000,0
1223,Forward,NULL,album,2014-08-01 00:00:00.0000000,0
1224,Blue,NULL,album,1999-11-23 00:00:00.0000000,61
1225,Porque Nao Lhe Dizes,NULL,album,2010-01-01 00:00:00.0000000,0
1226,"Nocturne in B Major, Op. 40, B. 47",NULL,album,2010-11-16 00:00:00.0000000,0
1227,Por Puro Amor,NULL,album,1995-01-01 00:00:00.0000000,49
1228,Deep Waters,NULL,album,2012-01-01 00:00:00.0000000,0
1229,No Justice No Peace,NULL,album,1994-01-01 00:00:00.0000000,0
123,Move 2 Thiz - Radio Edit,NULL,album,2011-12-19 00:00:00.0000000,0
1230,One O'Clock Jump,NULL,compilation,2003-03-27 00:00:00.0000000,0
1231,Oye Como Suena (feat. Lil Eto & Soundboy Carter),NULL,album,2013-11-26 00:00:00.0000000,0
1232,B6 F8 Artificial Intelligence Composition Systems,NULL,album,2012-02-18 00:00:00.0000000,0
1233,"Préludes, Book I, L 117: X. La Cathédrale Engloutie (The Sunken Cathedral): Profondément calme",NULL,album,2012-11-06 00:00:00.0000000,0
1234,"Supplication - Live at Springfield Civic Center Arena, Springfield, MA, May 11, 1978",NULL,album,2002-01-01 00:00:00.0000000,0
1235,Pussycat Pussycat,NULL,album,2013-04-19 00:00:00.0000000,0
1236,DJ-Kicks (Brandt Brauer Frick) [DJ Mix],NULL,album,2014-02-24 00:00:00.0000000,19
1237,No Es de Pena,NULL,album,2012-12-06 00:00:00.0000000,0
1238,Where Or When,NULL,compilation,2011-04-18 00:00:00.0000000,0
1239,Call of Duty: Ghosts,NULL,album,2013-11-01 00:00:00.0000000,0
124,Vivaldi: Orlando Furioso,NULL,album,2004-10-19 00:00:00.0000000,25
1240,I'd Rather Be Right Here,NULL,album,1992-01-01 00:00:00.0000000,0
1241,Reina Del Caribe,NULL,album,2011-05-27 00:00:00.0000000,0
1242,Settle the Score,NULL,album,2015-08-25 00:00:00.0000000,0
1243,Banner Man,NULL,album,2007-07-11 00:00:00.0000000,0
1244,Millennials,NULL,single,2017-05-09 00:00:00.0000000,18
1245,La Camioneta Gris,NULL,album,2014-12-08 00:00:00.0000000,0
