id,disc_number,duration,name,preview_url,track_number,popularity,is_playable
10063,1,197789,Sterilize,https://p.scdn.co/mp3-preview/324c21cacaae8fd89c29617a97ff4b8ea626c2b6?cid=265ececd7a594f2daf93bc4496052326,6,0,NULL
10064,1,244214,Forever,NULL,2,0,NULL
10065,1,236546,Pra Nós Dois - Ao Vivo,https://p.scdn.co/mp3-preview/5cf6400fe160bb0974667526b8fdc7aeefa31a3c?cid=cd552680dec84110b29ddf95d645cbe8,9,23,NULL
10066,1,171293,Elevate Me Later,NULL,2,0,NULL
10067,1,136360,Dream Love,NULL,28,0,NULL
10068,1,268933,Planeta Hola,https://p.scdn.co/mp3-preview/74cd54372636867af6f9dee6344426861516e5f8?cid=cd552680dec84110b29ddf95d645cbe8,2,26,NULL
10069,1,447000,"Symphony No.7 in D Minor, Op.70, B.141: 3. Scherzo (Vivace)",NULL,3,0,NULL
1007,1,87187,Struck Down,NULL,30,0,NULL
10070,1,181003,Ladjé ko'w,https://p.scdn.co/mp3-preview/e2a2ed4b33186f84594f686412079d4d0d265e12?cid=265ececd7a594f2daf93bc4496052326,6,0,NULL
10071,1,354406,Julianna,https://p.scdn.co/mp3-preview/99078ccda2d2f7689ef83ca09f39cbaf648285ea?cid=cd552680dec84110b29ddf95d645cbe8,5,10,NULL
10072,1,194508,Pop Bottles (128 BPM),https://p.scdn.co/mp3-preview/fd3e099046204a2351ae06ce92fa4c6d5a9b437d?cid=265ececd7a594f2daf93bc4496052326,9,0,NULL
10073,1,157306,Estoy Sabroso,https://p.scdn.co/mp3-preview/3a4edee0a12ee33fb636954631190f711db9f92e?cid=265ececd7a594f2daf93bc4496052326,16,3,NULL
10074,1,387960,Girl,NULL,1,6,NULL
10075,1,341037,Thank You's (Outro),NULL,15,0,NULL
10076,1,212053,Duet With Myself,https://p.scdn.co/mp3-preview/c91ccf5e8f391ff114e685fd46186f76da1f8e01?cid=265ececd7a594f2daf93bc4496052326,3,15,NULL
10077,1,222967,Maisy - Lord Numb Playtime Mix,https://p.scdn.co/mp3-preview/e16ba76aad5b9b5f5d9287df0810dd94c46013b3?cid=cd552680dec84110b29ddf95d645cbe8,11,0,NULL
10078,1,275106,Soror (Sister of Self-Destruction),https://p.scdn.co/mp3-preview/310b078d858f59ba84f0144e02bc4f7728a999dc?cid=265ececd7a594f2daf93bc4496052326,6,8,NULL
10079,1,220160,Blood Is Blue,NULL,1,0,NULL
1008,1,161160,It’s All Right With Me,NULL,36,0,NULL
10080,1,233059,Barbarian Kings,https://p.scdn.co/mp3-preview/30010a402cda19347cee22c4cc72bef1eaffd5cd?cid=265ececd7a594f2daf93bc4496052326,2,34,NULL
10081,1,278506,The Rhythm Of The Street,https://p.scdn.co/mp3-preview/e1b16b2ac5c2aecd6ab52c56cc5cfaddaa6dc356?cid=cd552680dec84110b29ddf95d645cbe8,4,5,NULL
10082,1,412500,Warum Nisht! (Original Mix),NULL,35,0,NULL
10083,2,269897,"Die Seiten der Welt, Kapitel 181",https://p.scdn.co/mp3-preview/52c58724a77ebf338acd05081fc8511cb912c07e?cid=cd552680dec84110b29ddf95d645cbe8,89,19,NULL
10084,1,222453,X1 Krashi / Woozzy,https://p.scdn.co/mp3-preview/f57aae1dc10d21c1e2204e34c853089eb24950c2?cid=cd552680dec84110b29ddf95d645cbe8,17,6,NULL
10085,1,184373,Nobody Knows The Trouble I've Seen,NULL,5,0,NULL
10086,1,301657,Wander,https://p.scdn.co/mp3-preview/e3fea0fea8f887502d277054bc8a76d412123b0f?cid=265ececd7a594f2daf93bc4496052326,3,1,NULL
10087,1,45341,Intro,https://p.scdn.co/mp3-preview/4d34fb37fd7efb89c53d576c4fe8bc65b7a7ad06?cid=cd552680dec84110b29ddf95d645cbe8,1,0,NULL
10088,1,105693,"Aequalis No. 2, WAB 149",https://p.scdn.co/mp3-preview/62fe49ca81f44ecb849ff506da5498466ee3ca44?cid=265ececd7a594f2daf93bc4496052326,18,4,NULL
10089,1,101826,Xxxplosive,NULL,12,0,NULL
1009,1,218960,Al atardecer,https://p.scdn.co/mp3-preview/b308b2a5a4ee688709b8c869c36c4f81ceaed42f?cid=cd552680dec84110b29ddf95d645cbe8,11,25,NULL
10090,1,367600,Clear Skyscrapers,NULL,9,0,NULL
10091,1,109000,Groovin' for George,NULL,18,0,NULL
10092,1,252693,"Song of Jupiter (arr. of Handel: Semele, HWV 58, ""Where'er You Walk"")",https://p.scdn.co/mp3-preview/77c3ce2fd3e8c4167ee9477678ea6f2eb8c87cb4?cid=265ececd7a594f2daf93bc4496052326,15,2,NULL
10093,1,165240,Fixing A Hole,https://p.scdn.co/mp3-preview/6513761119af34640f6695b92db7525ed9072f77?cid=265ececd7a594f2daf93bc4496052326,5,1,NULL
10094,2,209333,Tubular Bells,NULL,6,0,NULL
